input,output

"An act designed to modify the Internal Revenue Code of 1986 by introducing new fiscal incentives for stakeholders investing in sustainable energy technologies.",Bill
"Authorizing the necessary budgetary allocations for the 2026 fiscal year to support the diverse military operations of the Department of Defense.",Bill
"Comprehensive legal reforms aimed at restructuring immigration frameworks and creating a formal route to legal residency for eligible undocumented persons.",Bill
"New regulatory measures intended to bolster the security and privacy of personal information for citizens operating within the modern digital marketplace.",Bill
"Establishing a high-level federal body dedicated to monitoring the ethical implications and safety standards of advanced artificial intelligence systems.",Bill
"Providing a significant increase in federal financial resources to modernize and repair essential infrastructure throughout every state in the nation.",Bill
"Mandatory statutory requirements ensuring that all individuals undergoing firearm acquisitions are subject to thorough criminal background investigations.",Bill
"Expanding the reach of low-cost medical insurance and healthcare services to better serve the needs of families with limited financial resources.",Bill
"Assisting the small business sector through the implementation of targeted tax credits to facilitate growth during the current economic recovery phase.",Bill
"Protecting the fundamental right of every citizen to participate in federal elections by eliminating barriers and ensuring fair access to the polls.",Bill
"Utilizing innovative carbon pricing structures as a primary legislative tool to mitigate the long-term impacts of global climate change.",Bill
"Overhauling the national penal system with a strategic focus on rehabilitation programs designed to lower rates of criminal recidivism.",Bill
"Granting official approval for the sustained financing of NASA initiatives and various scientific missions related to deep space exploration.",Bill
"Forcing digital networking platforms to adhere to stricter transparency protocols regarding their data collection and algorithmic processes.",Bill
"Raising the federal minimum wage to a baseline of $15 per hour to improve the standard of living for workers across the entire country.",Bill
"Securing capital for the modernization of public water systems to ensure safe and purified drinking water for all local communities.",Bill
"Restructuring the laws that govern political campaign financing to minimize the influence of untraceable funds in the democratic process.",Bill
"Enhancing the quality and availability of psychiatric support and mental health counseling services within the national public school system.",Bill
"Supporting military veterans by broadening their eligibility for comprehensive healthcare packages and specialized medical treatment options.",Bill
"Advancing the boundaries of scientific knowledge by prioritizing the research, development, and commercialization of quantum computing technology.",Bill
"Directing federal grants toward medical research initiatives focused on discovering cures and therapies for uncommon diseases affecting children.",Bill
"Strengthening the authority of federal regulators to enforce antitrust laws against massive technology firms that dominate digital markets.",Bill
"Permitting the development and construction of new national cemeteries for veterans located in geographically isolated or underserved areas.",Bill
"Obligating social media corporations to submit comprehensive annual audits detailing their internal policies for moderating user-generated content.",Bill
"Investing in domestic industrial capabilities to secure the extraction and processing of essential minerals and rare earth materials required for national security.",Bill
"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows: White House order on Advancing Racial Equity and Support for Underserved Communities.",Executive Order
White House order 14008 – Tackling the Climate Crisis at Home and Abroad (reaffirmed and expanded).,Executive Order
It is hereby ordered that all executive departments shall prioritize procurement of American-made clean energy technologies.,Executive Order
White House order directing federal agencies to achieve net-zero emissions in operations by 2035.,Executive Order
Order establishing the White House Task Force on Worker Organizing and Empowerment.,Executive Order
Cabinet order on Strengthening the Nation’s Cybersecurity.,Executive Order
"By the authority vested in me, it is ordered that the federal government shall lead by example in reducing plastic waste.",Executive Order
Presidential directive to promote competition in the American economy and reduce monopolistic practices.,Executive Order
Order requiring agencies to review and eliminate unnecessary regulatory barriers to housing construction.,Executive Order
Cabinet order on Protecting Consumer Privacy in the Digital Age.,Executive Order
GAO-25-107812: Federal Agencies Continue to Face Challenges in Securing Cloud Environments.,Report
fiscal-year report to Congress on the Implementation of the Bipartisan Infrastructure Law.,Report
Congressional Budget Office – The Budget and Economic Outlook: 2026 to 2036.,Report
Department of Defense fiscal-year document on Military and Security Developments Involving the People’s Republic of China.,Report
National Intelligence Council – Global Trends 2040: A More Contested World (update 2026).,Report
audit report: Effectiveness of Federal Efforts to Combat Deepfake Technology.,Report
"Office of Management and Budget – Analytical Perspectives: Budget of the U.S. Government, Fiscal Year 2027.",Report
U.S. Climate Resilience Report: Progress and Gaps in Adaptation Planning.,Report
Department of Energy – Quadrennial Energy Review 2026 Edition.,Report
Congressional Research Service – Overview of Federal Support for State and Local Law Enforcement.,Report
The Committee on Homeland Security will hold a hearing entitled “Emerging Threats in Cyberspace: Protecting Critical Infrastructure.”,Hearing
Hearing before the Senate Committee on Finance: “Prescription Drug Pricing and Patient Access.”,Hearing
Joint Hearing of the House and Senate Armed Services Committees: U.S. Posture in the Indo-Pacific.,Hearing
Subcommittee on Economic Policy hearing: “The Future of Work in the Age of Automation and AI.”,Hearing
session regarding supervision of the Federal Bureau of Investigation’s Domestic Terrorism Investigations.,Hearing
Committee on Energy and Commerce hearing: “Safeguarding Consumer Data in the Age of Connected Devices.”,Hearing
Full Committee hearing: Reviewing the Implementation of the CHIPS and Science Act.,Hearing
Hearing entitled “Climate Adaptation and Resilience: Lessons from Recent Extreme Weather Events.”,Hearing
Subcommittee on Health hearing: Mental Health Crisis Among Youth – Federal Response and Gaps.,Hearing
Joint Economic Committee hearing: Inflation Trends and Monetary Policy in 2026.,Hearing
Draft law to To establish federal standards for artificial intelligence safety testing before deployment.,Bill
Legislation to expand Pell Grants to cover short-term workforce training programs.,Bill
"To amend the Federal Food, Drug, and Cosmetic Act to accelerate approval of generic biologics.",Bill
Draft law to to fund restoration of coastal wetlands to protect against storm surges.,Bill
An act to Requiring federal contractors to disclose greenhouse gas emissions annually.,Bill
To create a national registry for law enforcement use-of-force incidents.,Bill
An act to to enhance food safety standards for imported goods.,Bill
Legislation to support community policing initiatives.,Bill
An act to to expand access to legal aid for low-income Americans.,Bill
To promote international trade agreements with labor standards.,Bill
Draft law to to address the opioid epidemic with treatment funding.,Bill
Legislation to protect national parks and public lands.,Bill
Draft law to to improve aviation safety and air traffic control.,Bill
To authorize funding for pandemic preparedness.,Bill
Legislation to to reform Social Security for long-term solvency.,Bill
Legislation to To provide tax relief for small businesses affected by supply chain disruptions.,Bill
"To amend title 18, United States Code, to strengthen penalties for cybercrimes targeting critical infrastructure.",Bill
Legislation to establish a national strategy for electric vehicle charging infrastructure deployment.,Bill
Draft law to to reform the federal student loan repayment system and reduce borrower burden.,Bill
To authorize appropriations for fiscal year 2026 for the Department of Veterans Affairs medical care.,Bill
An act to To protect voting rights by requiring paper ballot backups in all federal elections.,Bill
To expand Medicare coverage to include hearing aids and dental services for seniors.,Bill
Legislation to impose stricter export controls on advanced semiconductor technology.,Bill
An act to to create a federal tax credit for employers offering paid family and medical leave.,Bill
To establish the National Commission on Gun Violence Prevention and Public Safety.,Bill
Legislation to To increase funding for border security technology and personnel.,Bill
Legislation to modernize the air traffic control system with next-generation satellite technology.,Bill
Draft law to to prohibit price gouging during declared national emergencies.,Bill
To amend the Clean Air Act to set stricter standards for methane emissions from oil and gas operations.,Bill
Legislation to To provide pathway to citizenship for Dreamers who entered as children.,Bill
Legislation to provide grants for community-based violence interruption programs.,Bill
Legislation to to modernize the federal permitting process for clean energy projects.,Bill
To strengthen whistleblower protections for intelligence community employees.,Bill
A proposed law to To prohibit the use of federal funds for private prisons.,Bill
Legislation establishing a federal Office of Gun Violence Research.,Bill
A proposed law to to invest in lead pipe replacement in drinking water systems nationwide.,Bill
To expand tax credits for energy-efficient home improvements and appliances.,Bill
A proposed law to To reform the H-1B visa program to prioritize high-skill workers.,Bill
Legislation to support maternal health care deserts in rural America.,Bill
An act to to require carbon capture and storage on new fossil fuel power plants.,Bill
To authorize additional funding for the Great American Outdoors Act.,Bill
Draft law to To protect journalists and press freedom in the digital era.,Bill
Legislation creating a federal task force on microplastics in drinking water.,Bill
Draft law to to expand apprenticeships in high-growth industries including clean tech.,Bill
Cabinet order on Rebuilding the Federal Workforce After Years of Underinvestment.,Executive Order
Cabinet order directing agencies to eliminate barriers to federal hiring of non-citizens with critical skills.,Executive Order
It is hereby ordered that the United States shall pursue leadership in fusion energy research.,Executive Order
White House order 141xx – Advancing Equity in Federal Procurement.,Executive Order
Order requiring all federal buildings to install EV charging by end of 2030.,Executive Order
Order by the President on Strengthening Supply Chain Resilience for Critical Minerals.,Executive Order
"By the authority vested in me, federal agencies shall prioritize open-source software where feasible.",Executive Order
Order by the President to combat antimicrobial resistance through coordinated action.,Executive Order
Order establishing an Interagency Council on Ocean Acidification and Climate Impacts.,Executive Order
White House order on Protecting Older Americans from Financial Exploitation.,Executive Order
GAO-26-108921: Challenges Remain in Federal Telework Program supervision and Cost Tracking.,Report
periodic report of the Director of National Intelligence – Worldwide Threat Assessment 2026.,Report
Congressional Budget Office – Options for Reducing the Deficit: 2027 to 2036.,Report
Department of State – Country Reports on Human Rights Practices for 2025.,Report
National Institutes of Health – Biennial Report of the Director 2025–2026.,Report
